"Date	Close	Volume	Company_ticker	Company_name	Field	Dis_category	Rate_of_Return	Date1	Close1	Volume1	Company_ticker1	Company_name1	Field	Dis_category	Rate_of_Return1"
"12/31/2015	27.16	7038333	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.005128205	1/1/2016	74.68	0	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0"
"12/30/2015	27.3	6722732	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.009793254	12/31/2015	74.68	836958	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.012561153"
"12/29/2015	27.57	5983187	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.00547046	12/30/2015	75.63	697270	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.018302181"
"12/28/2015	27.42	5329367	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.000364564	12/29/2015	77.04	474619	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.001169591"
"12/25/2015	27.43	0	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	12/28/2015	76.95	696350	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.001692268"
"12/24/2015	27.43	4174139	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.001094891	12/25/2015	76.82	0	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0"
"12/23/2015	27.4	7347934	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.001461988	12/24/2015	76.82	264034	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.013189132"
"12/22/2015	27.36	8094252	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.010712966	12/23/2015	75.82	653145	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.009147935"
"12/21/2015	27.07	10700296	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.00147547	12/22/2015	76.52	500979	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.004199475"
"12/18/2015	27.11	29376228	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.013823208	12/21/2015	76.2	658538	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.000917792"
"12/17/2015	27.49	12242811	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.014695341	12/18/2015	76.27	1946749	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.021426739"
"12/16/2015	27.9	8877293	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.020482809	12/17/2015	77.94	951286	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.000898934"
"12/15/2015	27.34	8304316	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.003302752	12/16/2015	77.87	1563780	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.007519755"
"12/14/2015	27.25	14230678	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.007647487	12/15/2015	78.46	573197	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.024281984"
"12/11/2015	27.46	11056574	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.027275948	12/14/2015	76.6	632909	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.0075149"
"12/10/2015	28.23	10757824	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.003198294	12/11/2015	77.18	615852	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.041837368"
"12/9/2015	28.14	15817506	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.020536025	12/10/2015	80.55	535894	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.012020115"
"12/8/2015	28.73	8631288	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.020122783	12/9/2015	81.53	791974	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.014862252"
"12/7/2015	29.32	9647882	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.000340948	12/8/2015	82.76	678158	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.005408004"
"12/4/2015	29.33	11421247	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.010334137	12/7/2015	83.21	536885	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.004830335"
"12/3/2015	29.03	13331716	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.009553054	12/4/2015	82.81	455449	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.012594766"
"12/2/2015	29.31	9693692	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.014127144	12/3/2015	81.78	484140	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.017067308"
"12/1/2015	29.73	10537112	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.0074551	12/2/2015	83.2	892475	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.010199126"
"11/30/2015	29.51	11651645	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.001015572	12/1/2015	82.36	795221	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.012913541"
"11/27/2015	29.54	4754089	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.012040134	11/30/2015	81.31	654177	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.018113754"
